question_id ;question_english;correct_answer_english;incorrect_answer_1_english;incorrect_answer_2_english;incorrect_answer_3_english;question_french;correct_answer_french;incorrect_answer_1_french;incorrect_answer_2_french;incorrect_answer_3_french
B-001-024-008;Which statement is NOT correct?;Hand-held transmitters are excluded from Safety Code 6 requirements;Antenna gain, distance, transmitter power and frequency all influence exposure to radio energy;Safety Code 6 uses different units for magnetic field strength and electric field strength;Safety Code 6 specifies lower exposure limits for the general public in uncontrolled areas than for controlled areas;Lequel des énoncés suivants est FAUX?;Les émetteurs portatifs sont exemptés des exigences du Code de sécurité 6;Le gain d'antenne, la distance, la puissance et la fréquence influencent tous le degré d'exposition d'une personne à l'énergie radio;Le Code de sécurité 6 utilise des unités de mesure différentes pour le champ électrique et le champ magnétique;Le Code de sécurité 6 stipule des limites d'exposition plus basses pour le grand public dans les environnements non contrôlés que dans les environnements contrôlés
B-001-024-009;Safety Code 6 sets limits for RF exposure from radio transmitters. Which types of transmitters are exempt from regulation?;No transmitters are exempt;Broadcast transmitters;Portable transmitters;Low power transmitters (less than 10 watts);Le Code de sécurité 6 fixe des limites d'exposition pour tous les émetteurs radio. Quels types d'émetteurs sont exemptés de ces règles?;Aucun émetteur n'est exempté;Les émetteurs de diffusion;Les émetteurs portatifs;Les émetteurs de basse puissance (sous 10 watts)
B-001-024-010;Which of these statements about Safety Code 6 is NOT correct?;Safety Code 6 sets limits in terms of power levels fed into antennas;Safety Code 6 sets limits for contact currents that could be drawn from ungrounded or poorly grounded objects;Safety Code 6 sets limits for induced currents, electrical field strength and magnetic field strength from electromagnetic radiation;Safety Code 6 sets limits for allowable rates at which RF energy is absorbed in the body (specific absorption rate);À propos du Code de sécurité 6, lequel des énoncés suivants est FAUX?;Fixe des limites énoncées en niveaux de puissance permise à l'antenne;Fixe des limites pour les courants de contact qui pourraient être perçus sur des objets non mis à la terre ou incorrectement mis à la terre;Fixe des limites pour les courants induits, l'intensité du champ électrique et l'intensité du champ magnétique découlant du rayonnement électromagnétique;Fixe des limites pour les taux d'absorption de radiofréquence par le corps (débit d'absorption spécifique ou "specific absorption rate")
B-001-025-001;Your neighbour's stereo system malfunctions when you are transmitting. What provision in Electromagnetic Compatibility Advisory Bulletin EMCAB-2 deems the stereo system's lack of immunity is the cause?;The field strength of your emissions, on your neighbour's premises, is below Innovation, Science and Economic Development Canada's specified immunity criteria;You are transmitting at or below your maximum permitted power;The malfunction stops when you stop transmitting;The field strength of your emissions, on your neighbour's premises, is above Innovation, Science and Economic Development Canada's specified immunity criteria;La chaîne stéréo de votre voisin fonctionne incorrectement lorsque vous émettez. Selon quelle disposition de l'Avis sur la compatibilité électromagnétique ACEM-2 le manque d'immunité du matériel affecté sera-t-il considéré comme la cause du problème?;L'intensité du champ chez votre voisin est inférieure aux critères d'immunité spécifiés par Innovation, Sciences et Développement économique Canada;Vous émettez à une puissance n'excédant pas vos privilèges;Le problème disparaît quand vous cessez d'émettre;L'intensité du champ chez votre voisin excède les critères d'immunité spécifiés par Innovation, Sciences et Développement économique Canada
B-001-025-002;Your neighbour's television receiver malfunctions when you are transmitting. What provision in Electromagnetic Compatibility Advisory Bulletin EMCAB-2 deems your transmission is the cause?;The field strength of your emissions, on your neighbour's premises, is above Innovation, Science and Economic Development Canada's specified immunity criteria;You are transmitting at or below your maximum permitted power;The malfunction continues when you stop transmitting;The field strength of your emissions, on your neighbour's premises, is below Innovation, Science and Economic Development Canada's specified immunity criteria;Le téléviseur de votre voisin fonctionne incorrectement lorsque vous émettez. Selon quelle disposition de l'Avis sur la compatibilité électromagnétique ACEM-2 vos émissions seront-elles considérées comme la cause du problème?;L'intensité du champ chez votre voisin excède les critères d'immunité spécifiés par Innovation, Sciences et Développement économique Canada;Vous émettez à une puissance n'excédant pas vos privilèges;Le problème demeure le même quand vous cessez d'émettre;L'intensité du champ chez votre voisin est inférieure aux critères d'immunité spécifiés par Innovation, Sciences et Développement économique Canada
B-001-025-003;When determining the field strength criterion per Electromagnetic Compatibility Advisory Bulletin EMCAB-2, what type of equipment describes devices often used in home entertainment systems, but not strictly speaking radio apparatus?;Associated equipment;Broadcast receivers;Radio-sensitive equipment;Low-immunity equipment;Pour déterminer quel critère d'intensité de champ s'applique selon l'Avis sur la compatibilité électromagnétique ACEM-2, quel type d'équipement englobe des appareils fréquemment utilisés dans les systèmes de divertissement sans être des appareils radio?;Matériel connexe;Récepteurs de radiodiffusion;Matériel radiosensible;Matériel de faible immunité
B-001-025-004;Your neighbour complains that your transmissions interfere with their garage door opener. When determining the applicable field strength criterion in Electromagnetic Compatibility Advisory Bulletin EMCAB-2, what type of equipment is the garage door opener?;Radio-sensitive equipment;Associated equipment;Broadcast equipment;Low-immunity equipment;Votre voisin se plaint que vos émissions gênent le fonctionnement de son ouvre-porte de garage. Pour déterminer quel critère d'intensité de champ s'applique selon l'Avis sur la compatibilité électromagnétique ACEM-2, quel type d'équipement englobe l'ouvre-porte de garage?;Matériel radiosensible;Matériel connexe;Récepteurs de radiodiffusion;Matériel de faible immunité
B-002-001-001;What is an appropriate way to make contact on a repeater?;Say the call sign of the station you want to contact, then your call sign;Say the other operator's name, then your call sign three times;Say, "breaker, breaker";Say the call sign of the station you want to contact three times;Quelle est la bonne façon de faire un contact sur un répéteur?;Dire l'indicatif d'appel de la station que vous voulez rejoindre, puis donner votre indicatif d'appel;Dire le nom du radioamateur que vous appelez, puis dire votre indicatif d'appel à trois reprises;Dire "breaker, breaker";Dire à trois reprises l'indicatif d'appel de la station que vous voulez rejoindre
B-002-001-002;What is the main purpose of a repeater?;To increase the range of portable and mobile stations;To link amateur radio stations with the telephone system;To retransmit weather information during severe storm warnings;To make local information available 24 hours a day;Pourquoi utilise-t-on un répéteur?;Pour améliorer la portée des stations portables et mobiles;Pour établir un lien du service de radioamateur au réseau téléphonique public;Pour retransmettre les informations durant les veilles météorologiques;Pour rendre disponibles les informations locales 24 heures par jour
B-002-001-003;What is frequency coordination on VHF and UHF bands?;A process which seeks to carefully recommend frequencies to minimize interference with neighbouring repeaters;A band plan detailing modes and frequency segments within a band;The selection of simplex frequencies used by individual operators;A part of the planning prior to a contest;Que veut-on dire par coordination de fréquences sur les bandes VHF et UHF?;Un processus qui vise à minimiser le brouillage avec les répéteurs avoisinants en recommandant judicieusement des fréquences;Un plan de bande montrant les modes d'émission par segment de bande;Le choix de fréquences simplex utilisées par des individus;La planification préalable à un concours
B-002-001-004;What is the purpose of a repeater time-out timer?;It interrupts lengthy transmissions;It hands over control to each user in turns;It logs repeater transmit time to predict when a repeater will fail;It tells how long someone has been using a repeater;Pourquoi un répéteur est-il équipé d'une minuterie limitant la durée de la retransmission?;Pour mettre fin à de longues transmissions;Pour remettre le contrôle à chaque utilisateur à tour de rôle;Pour enregistrer la durée des retransmissions, et ainsi déterminer à l'avance quand l'équipement fera défaut;Pour déterminer la durée d'utilisation du répéteur par un radioamateur
B-002-001-005;What is a CTCSS tone?;A sub-audible tone that activates a receiver audio output when present;A tone used by repeaters to mark the end of a transmission;A signal used for telemetry by amateur radio satellites;A signal used for radio control of model craft;Que veut dire la tonalité CTCSS?;Une tonalité infravocale (sous-audible) qui active la sortie audio d'un récepteur, lorsque présente;Une tonalité utilisée par les répéteurs pour indiquer la fin d'une retransmission;Un signal utilisé en télémesure par des satellites de radio amateur;Un signal utilisé pour les modèles télécommandés
B-002-001-006;How do you call another station on a repeater if you know the station's call sign?;Say the station's call sign, then identify your own station;Say "break, break," then say the station's call sign;Say "CQ" three times, then say the station's call sign;Wait for the station to call "CQ," then answer it;Comment appelez-vous une autre station sur un répéteur si vous connaissez l'indicatif d'appel de sa station?;Vous dites l'indicatif d'appel de la station appelée, puis vous identifiez votre station;Vous dites "break, break", puis vous identifiez votre station;Vous dites "CQ" trois fois, puis vous identifiez votre station;Vous attendez que la station lance un "CQ", puis vous lui répondez
B-002-001-007;Why should you pause before and between transmissions when using a repeater?;To listen for anyone else wanting to use the repeater;To check the SWR of the repeater;To reach for pencil and paper for third-party communications;To give the repeater time to respond;Pourquoi devriez-vous faire une brève pause avant et entre les transmissions faites sur un répéteur?;Pour vérifier s'il n'y a pas quelqu'un qui désire se servir du répéteur;Pour vérifier le ROS du répéteur;Pour aller chercher une feuille de papier et un crayon pour les communications au nom d'un tiers;Pour permettre au répéteur de s'activer
B-002-001-008;Why should you keep transmissions short when using a repeater?;A long transmission may prevent someone with an emergency from using the repeater;To keep long-distance charges down;To reduce the bandwidth used by the repeater;To avoid exceeding the repeater's memory storage;Pourquoi devriez-vous vous limiter à de courtes conversations lorsque vous utilisez un répéteur?;Parce qu'une trop longue conversation peut empêcher une personne d'utiliser le répéteur en cas d'urgence;Pour éviter les frais d'appels interurbains;Pour réduire la bande passante utilisée par le répéteur;Pour ne pas excéder la capacité mémoire du répéteur
B-002-001-009;What is the proper way to join a conversation on a repeater?;Say your call sign during a break between transmissions;Wait for the end of a transmission and start calling the desired party;Shout "break, break!" to show that you're eager to join the conversation;Increase power to override whoever is talking;Quelle est la bonne façon de se joindre à une conversation en cours sur un répéteur?;Donner votre indicatif d'appel durant la pause entre les transmissions;Attendre la fin d'une transmission, puis appelez la station que vous désirez contacter;Crier "break, break!" pour indiquer votre empressement à participer à la conversation;Augmenter votre puissance pour être sûr d'être entendu
B-002-001-010;What is the accepted way to ask someone about their location when using a repeater?;Where are you?;What is your 10-20?;Locations are not normally broadcast over the radio;What is your 10-85?;Quelle est la bonne façon de se renseigner sur le lieu d'émission de l'autre personne lorsque vous utilisez un répéteur?;Où êtes-vous situé?;Quel est votre "10-20"?;Les lieux d'émissions ne sont généralement pas révélés en ondes;Quel est votre "10-85"?
B-002-001-011;FM repeater operation on the 2-metre band uses one frequency for transmission and one for reception. What is the standard difference between the transmit and receive frequencies (known as "offset")?;600 kHz;800 kHz;1000 kHz;400 kHz;Sur la bande de 2 mètres, les répéteurs FM utilisent une fréquence d'émission différente de la fréquence de réception. Quel est l'écart normal (appelé "offset") entre ces fréquences?;600 kHz;800 kHz;1 000 kHz;400 kHz
B-002-002-001;To make your call sign better understood when using voice transmissions, what should you do?;Use International Telecommunication Union phonetic alphabet code words to spell letters in your call sign;Use any words which start with the same letters as your call sign for each letter of your call;Talk louder and faster;Turn up your microphone gain;Pour vous assurer que votre indicatif d'appel est bien compris, quel moyen pouvez-vous utiliser en phonie?;Employer les mots de code de l'alphabet phonétique de l'Union internationale des télécommunications pour chacune des lettres de votre indicatif d'appel;Utiliser des mots commençant par les mêmes lettres que les lettres de votre indicatif d'appel;Parler plus fort et plus vite;Augmenter le gain de l'amplificateur microphonique
B-002-002-002;What can you use as an aid for correct station identification when using voice?;The International Telecommunication Union phonetic alphabet;Q codes;Unique words of your choice;A speech compressor;Comment pouvez-vous faciliter l'identification de votre station lorsque vous utilisez la phonie?;En utilisant l'alphabet phonétique de l'Union internationale des télécommunications;En utilisant les codes Q;En utilisant des mots choisis à votre guise;En utilisant un compresseur audio
B-002-002-003;In the International Telecommunication Union phonetic alphabet, what is the code word for the letter A?;Alfa;Able;Adam;America;Selon l'alphabet phonétique de l'Union internationale des télécommunications, quel est le mot de code pour la lettre A?;Alfa;Able;Adam;America
B-002-002-004;In the International Telecommunication Union phonetic alphabet, what is the code word for the letter B?;Bravo;Brazil;Borneo;Baker;Selon l'alphabet phonétique de l'Union internationale des télécommunications, quel est le mot de code pour la lettre B?;Bravo;Brazil;Borneo;Baker
B-002-002-005;In the International Telecommunication Union phonetic alphabet, what is the code word for the letter D?;Delta;Dog;Denmark;David;Selon l'alphabet phonétique de l'Union internationale des télécommunications, quel est le mot de code pour la lettre D?;Delta;Dog;Denmark;David
B-002-002-006;In the International Telecommunication Union phonetic alphabet, what is the code word for the letter E?;Echo;Easy;Edward;England;Selon l'alphabet phonétique de l'Union internationale des télécommunications, quel est le mot de code pour la lettre E?;Echo;Easy;Edward;England
B-002-002-007;In the International Telecommunication Union phonetic alphabet, what is the code word for the letter G?;Golf;George;Germany;Gibraltar;Selon l'alphabet phonétique de l'Union internationale des télécommunications, quel est le mot de code pour la lettre G?;Golf;George;Germany;Gibraltar
B-002-002-008;In the International Telecommunication Union phonetic alphabet, what is the code word for the letter I?;India;Iran;Italy;Item;Selon l'alphabet phonétique de l'Union internationale des télécommunications, quel est le mot de code pour la lettre I?;India;Iran;Italy;Item
B-002-002-009;In the International Telecommunication Union phonetic alphabet, what is the code word for the letter L?;Lima;Love;London;Luxembourg;Selon l'alphabet phonétique de l'Union internationale des télécommunications, quel est le mot de code pour la lettre L?;Lima;Love;London;Luxembourg
B-002-002-010;In the International Telecommunication Union phonetic alphabet, what is the code word for the letter P?;Papa;Portugal;Paris;Peter;Selon l'alphabet phonétique de l'Union internationale des télécommunications, quel est le mot de code pour la lettre P?;Papa;Portugal;Paris;Peter
B-002-002-011;In the International Telecommunication Union phonetic alphabet, what is the code word for the letter R?;Romeo;Roger;Radio;Romania;Selon l'alphabet phonétique de l'Union internationale des télécommunications, quel est le mot de code pour la lettre R?;Romeo;Roger;Radio;Romania
B-002-003-001;What is the correct way to call "CQ" when using voice?;Say "CQ" three times, followed by "this is," followed by your call sign spoken three times;Say "CQ" once, followed by "this is," followed by your call sign spoken three times;Say "CQ" at least five times, followed by "this is," followed by your call sign spoken once;Say "CQ" at least ten times, followed by "this is," followed by your call sign spoken once;Comment doit-on lancer un "CQ" lorsqu'on utilise la phonie?;Dire "CQ" trois fois, le mot "ici", puis votre indicatif d'appel trois fois;Dire "CQ" une fois, le mot "ici", puis votre indicatif d'appel trois fois;Dire "CQ" au moins 5 fois, le mot "ici", puis votre indicatif d'appel une fois;Dire "CQ" au moins 10 fois, le mot "ici", puis votre indicatif d'appel une fois
B-002-003-002;How should you answer a voice CQ call?;Say the other station's call sign once, followed by "this is," then your call sign;Say the other station's call sign at least five times, followed by "this is," then your call sign twice;Say the other station's call sign at least three times, followed by "this is," and your call sign at least five times;Say your call sign twice, followed by "calling," then the other station's call sign;Comment doit-on répondre à un "CQ" en phonie?;Dire l'indicatif d'appel de l'autre station une fois, le mot "ici", puis votre indicatif d'appel;Dire l'indicatif d'appel de l'autre station au moins 5 fois, le mot "ici", puis votre indicatif d'appel 2 fois;Dire l'indicatif d'appel de l'autre station au moins 3 fois, le mot "ici", puis votre indicatif d'appel au moins 5 fois;Dire votre indicatif d'appel 2 fois, l'expression "qui appelle", puis l'indicatif d'appel de l'autre station
B-002-003-003;What is simplex operation?;Transmitting and receiving on the same frequency;Transmitting and receiving over a wide area;Transmitting on one frequency and receiving on another;Transmitting one-way communications;Qu'est-ce qu'une communication en simplex?;C'est une communication où la fréquence d'émission est la même que la fréquence de réception;C'est une communication couvrant un large territoire;C'est une communication où les fréquences d'émission et de réception sont distinctes;C'est une transmission à sens unique
B-002-003-004;When should you consider using simplex operation instead of a repeater?;When signals are reliable between communicating parties without using a repeater;When the most reliable communications are needed;When an emergency telephone call is needed;When you are travelling and need some local information;Dans quelle situation devriez-vous considérer une communication simplex plutôt que par l'entremise d'un répéteur?;Lorsqu'une communication fiable est possible entre tous les participants sans utiliser le répéteur;Lorsqu'il est nécessaire d'avoir des communications fiables;Lorsque vous devez faire un appel téléphonique urgent;Lorsque vous voyagez et que vous avez besoin de renseignements locaux
B-002-003-005;Why should local communications use VHF and UHF frequencies instead of HF frequencies?;To minimize clutter on HF bands more appropriate for long-distance communication;Because greater output power is permitted on VHF and UHF;Because HF transmissions are not propagated locally;Because signals are stronger on VHF and UHF frequencies;Pourquoi est-il préférable d'utiliser les fréquences UHF et VHF pour les communications locales au lieu des fréquences HF?;Pour diminuer l'encombrement sur les bandes HF qui peuvent servir aux communications à longues distances;Parce que vous pouvez utiliser plus de puissance de sortie sur les bandes VHF et UHF;Parce que la propagation HF est impossible localement;Parce que les signaux sont plus forts sur les bandes VHF et UHF
B-002-003-006;Why should you be careful in choosing a simplex frequency when operating VHF or UHF?;To avoid inadvertently choosing a frequency that is the input to a local repeater;Some frequencies cannot accommodate simplex operation;Implanted medical devices share the same spectrum;Some frequencies are designated for narrow band FM and others for wideband FM;Pourquoi devriez-vous apporter une attention particulière au choix d'une fréquence simplex sur les bandes VHF ou UHF?;Vous pourriez choisir par inadvertance la fréquence d'entrée d'un répéteur local;Certaines fréquences sont inutilisables en mode simplex;Des dispositifs médicaux implantables partagent le même spectre radio;Certaines fréquences sont allouées à la modulation de fréquence à bande étroite et d'autres, à la modulation de fréquence à large bande
B-002-003-007;If you are talking to a station using a repeater, how would you find out if you could communicate using simplex instead?;By checking if you can clearly receive the station on the repeater's input frequency;By asking a third station to confirm it receives you both;By checking if you can clearly receive a more distant repeater;By asking the other station to move 10 kHz away to test the path;Si vous êtes en contact avec une autre station sur un répéteur, comment pouvez-vous vérifier la possibilité d'une communication en simplex?;En vérifiant si vous recevez bien la station sur la fréquence d'entrée du répéteur;En demandant à une troisième station si elle peut vous capter tous les deux;En vérifiant si vous pouvez capter les signaux d'un répéteur plus éloigné;En demandant à l'autre station de faire un essai en direct après s'être déplacé de 10 kHz
B-002-003-008;If you are operating simplex on a repeater frequency, why would it be good practice to change to another frequency?;Because you may interfere with users of the repeater;Because the repeater's output power may overload your receiver;Because there are more repeater operators than simplex operators;Because changing the repeater's frequency requires the authorization of Innovation, Science and Economic Development Canada;Si vous opérez en simplex sur la fréquence d'un répéteur, pourquoi serait-il sage de changer de fréquence?;Parce que vous pourriez brouiller les usagers du répéteur;Parce que la puissance de sortie du répéteur pourrait surcharger votre récepteur;Parce qu'il y a beaucoup plus d'utilisateurs de répéteurs que d'opérateurs en simplex;Parce qu'un changement de fréquence sur un répéteur nécessite l'autorisation d'Innovation, Sciences et Développement économique Canada
B-002-003-009;Which sideband is commonly used for 20-metre voice operation?;Upper;Lower;Independent;Double;Quelle bande latérale utilise-t-on habituellement pour la phonie sur 20 mètres?;Supérieure;Inférieure;Indépendante;Double
B-002-003-010;Which sideband is commonly used on 3755 kHz for voice operation?;Lower;Independent;Double;Upper;Quelle bande latérale est habituellement utilisée pour la phonie à la fréquence de 3755 kHz?;Inférieure;Indépendante;Double;Supérieure
B-002-003-011;When calling a specific station on voice, what is the preferred format for your transmission?;The call sign of the desired station, followed by "this is" and your call sign;"CQ, CQ, CQ" followed by the call sign of the desired station;Your call sign, followed by "calling" and the call sign of the desired station;Your call sign repeated twice, the word "for" and the call sign of the desired station;Quel est le bon format d'un appel à une station précise en mode voix?;L'indicatif d'appel de la station appelée, le mot "ici" et votre indicatif d'appel;"CQ, CQ, CQ" suivi de l'indicatif d'appel de la station appelée;Votre indicatif d'appel, l'expression "qui appelle" et l'indicatif d'appel de la station appelée;Votre indicatif d'appel deux fois, le mot "pour" et l'indicatif d'appel de la station appelée
B-002-004-001;What should you do before you transmit on any frequency?;Listen to make sure others are not using the frequency;Check your antenna for resonance at the selected frequency;Make sure the SWR on your transmission line is high enough;Increase power to ensure someone will hear you;Avant d'émettre sur une fréquence donnée, que devriez-vous faire?;Écouter, pour vous assurer que la fréquence est libre;Vérifier votre antenne, pour vous assurer de la résonance à la fréquence choisie;Vous assurer que le ROS de votre ligne de transmission est assez élevé;Augmentez votre puissance pour être sûr d'être entendu
B-002-004-002;If you contact another station and your signal is extremely strong and perfectly readable, what adjustment should you make to your transmitter?;Turn down your power output to the minimum necessary;Turn on your speech processor;Bypass your antenna tuner;None, continue with your contact;Lors d'un contact avec une autre station, quel réglage devriez-vous faire à votre émetteur si le signal est extrêmement fort et parfaitement lisible?;Diminuer la puissance de sortie au minimum requis;Mettre en fonction votre processeur de voix;Mettre le bloc d'accord d'antenne hors circuit;Rien, continuer à dialoguer avec l'autre station
B-002-004-003;You need to transmit to adjust your antenna tuner prior to joining an HF single-sideband net that is in progress. On what frequency should you make the adjustment?;3 kHz to 5 kHz away from the net frequency;1 kHz away from the net frequency;On the net frequency;On the band's centre frequency;Avant de vous joindre à un réseau en bande latérale unique, vous devez émettre pour régler votre bloc d'accord d'antenne. Sur quelle fréquence devriez-vous procéder à ce réglage?;De 3 kHz à 5 kHz à côté de la fréquence du réseau;À 1 kHz de la fréquence du réseau;Sur la fréquence du réseau;Au centre de la bande utilisée
B-002-004-004;How can on-the-air interference be minimized during lengthy transmitter testing?;Use a dummy load;Choose an unoccupied frequency;Use a non-resonant antenna;Use a resonant antenna;Comment est-il possible de diminuer le brouillage en ondes lors de longs essais d'émission?;En employant une charge fictive;En choisissant une fréquence libre;En utilisant une antenne non résonante;En utilisant une antenne résonante
B-002-004-005;Why would you use a dummy load?;To test or adjust your transceiver without causing interference;To give comparative signal reports;It is faster to tune;To reduce output power;Pourquoi devriez-vous utiliser une charge fictive?;Pour permettre la vérification ou le réglage de votre émetteur-récepteur sans causer de brouillage;Pour être en mesure de donner des rapports de signaux comparatifs;Parce que la syntonisation est plus rapide;Pour diminuer la puissance de sortie
B-002-004-006;If you are the net control station of a daily HF net, what should you do if the frequency on which you normally meet is in use just before the net begins?;Ask occupants if they would change frequency, otherwise move to a clear frequency;Reduce your output power and start the net as usual;Increase your power output so that net participants will be able to hear you over the existing activity;Cancel the net for that day;Si vous êtes le responsable (l'animateur) d'un réseau quotidien sur HF, que devriez-vous faire si la fréquence habituellement utilisée est occupée au moment où le réseau doit débuter?;Demander aux stations en ondes de changer de fréquence, sinon déplacer le réseau sur une fréquence libre;Diminuer la puissance de votre émetteur et utiliser la fréquence habituelle;Augmenter la puissance de votre émetteur de sorte que les participants au réseau vous entendent;Reporter le réseau au lendemain
B-002-004-007;If a net is about to begin on a frequency that you and another station are using, what should you do?;As a courtesy, move to a different frequency;Increase your power output to ensure that all net participants can hear you;Transmit as long as possible on the frequency so that no other stations may use it;Turn off your radio;Si un réseau doit débuter sur une fréquence que vous utilisez avec un autre radioamateur, que devriez-vous faire?;Par courtoisie, changer de fréquence;Augmenter la puissance de votre émetteur pour que tous les participants au réseau puissent vous entendre;Continuer d'émettre sur la fréquence le plus longtemps possible pour que personne d'autre ne puisse l'utiliser;Fermer votre appareil
B-002-004-008;If propagation changes during your contact and you notice increasing interference from other stations on the same frequency, what should you do?;Move to another frequency;Tell the interfering stations to change frequency, since you were there first;Report the interference to your Section Manager at Radio Amateurs of Canada (RAC);Increase your output power;Si la propagation change durant un contact de sorte que le brouillage venant d'autres stations augmente considérablement sur la fréquence que vous utilisez, que devriez-vous faire?;Changer de fréquence;Aviser les stations de changer de fréquence puisque vous étiez le premier utilisateur;Signaler ce brouillage à votre directeur de section de RAC;Augmenter la puissance de votre émetteur
B-002-004-009;When selecting a single-sideband voice transmitting frequency, what minimum frequency separation from a contact in progress should you allow to minimize interference?;Approximately 3 kHz;150 Hz to 500 Hz;Approximately 6 kHz;Approximately 10 kHz;Lorsque vous choisissez une fréquence pour émettre en phonie sur bande latérale unique, quel décalage minimal (séparation) de fréquence devriez-vous respecter pour éviter le plus possible de brouiller un contact en cours?;Approximativement 3 kHz;De 150 Hz à 500 Hz;Approximativement 6 kHz;Approximativement 10 kHz
B-002-004-010;What is a band plan?;A voluntary division of an amateur radio band to avoid interference between incompatible modes;A schedule of operating restrictions within a band prescribed by Innovation, Science and Economic Development Canada;A plan devised by a club for the effective use of a frequency band during a contest;A schedule of additional band allocations for recommendation to the International Telecommunication Union;Qu'est-ce qu'un plan de bande?;Une suggestion de partage d'une bande du service de radioamateur pour éviter le brouillage entre modes incompatibles;Une annexe aux règlements d'Innovation, Sciences et Développement économique Canada montrant les restrictions d'exploitation sur une bande;Un guide d'utilisation des fréquences proposé par un club radio amateur pour un concours;Un document montrant des allocations supplémentaires pour recommandation à l'Union internationale des télécommunications
B-002-004-011;Before transmitting, the first thing you should do is:;listen carefully so as not to interrupt communications already in progress;ask if the frequency is occupied;make an announcement on the frequency indicating that you intend to make a call;decrease your receiver's volume;Avant d'émettre un signal radio, vous devriez premièrement:;écouter attentivement de façon à ne pas interrompre une communication déjà en cours;demander si la fréquence est occupée;annoncer sur la fréquence votre intention de faire un appel;baisser le volume de votre récepteur
B-002-005-001;What is the correct way to call "CQ" when using Morse code?;Send the letters "CQ" three times, followed by the word "DE," followed by your call sign three times;Send the letters "CQ" three times, followed by the word "DE," followed by your call sign once;Send the letters "CQ" ten times, followed by the word "DE," followed by your call sign once;Send the letters "CQ" until someone answers;Comment faut-il émettre le "CQ" lorsque vous utilisez le code Morse?;Émettre "CQ" trois fois, suivi du "DE", puis de votre indicatif d'appel trois fois;Émettre "CQ" trois fois, suivi du "DE", puis de votre indicatif d'appel une fois;Émettre "CQ" dix fois, suivi du "DE", puis de votre indicatif d'appel une fois;Émettre "CQ" jusqu'à ce qu'une réponse soit obtenue
B-002-005-002;How should you answer a routine Morse code "CQ" call?;Send the other station's call sign twice, followed by the word "DE," followed by your call sign twice;Send your call sign four times;Send the other station's call sign once, followed by the word "DE," followed by your call sign four times;Send your call sign followed by your name, station location and a signal report;Comment faut-il répondre à une station qui lance un "CQ" de routine en code Morse?;Émettre l'indicatif d'appel de la station qui appelle à deux reprises, suivi du "DE", puis de votre indicatif d'appel deux fois;Émettre votre indicatif d'appel à quatre reprises;Émettre l'indicatif d'appel de la station qui appelle une seule fois, suivi du "DE", puis de votre indicatif d'appel quatre fois;Émettre votre indicatif d'appel, suivi de votre nom, de votre position et d'un rapport de signal
B-002-005-003;At what speed should a Morse code "CQ" call be transmitted?;At any speed which you can reliably receive;At the customary speed for the band;At the highest speed your keyer will operate;At the highest speed at which you can control the keyer;Quelle devrait être la vitesse d'un appel "CQ" en code Morse?;La vitesse à laquelle vous pouvez confortablement recevoir le code Morse;La vitesse habituelle pour la bande de fréquences;La vitesse maximale de votre manipulateur électronique;La vitesse la plus élevée que vous maîtrisez sur votre manipulateur électronique
B-002-005-004;What is the meaning of "CQ"?;Calling any station;Call on the quarter-hour;An antenna is being tested;The frequency is in use;Quelle est la signification de "CQ"?;Appel pour n'importe quelle station à l'écoute;Appel fait au quart d'heure;Essai d'antenne en cours;La fréquence est occupée
B-002-005-005;What is the meaning of the word "DE" in Morse code?;From;Received all correctly;Calling any station;Directional Emissions;Que signifie le mot "DE" en code Morse?;De;Tout a été bien reçu;Appel pour n'importe quelle station;Émissions directionnelles
B-002-005-006;What is the meaning of the Morse code signal "K"?;Any station please reply;End of message;Called station only reply;All received correctly;Que signifie le signal "K" en code Morse?;Invitation à répondre donnée à toute station;Fin du message;Seule la station appelée est invitée à répondre;Tout a été bien reçu
B-002-005-007;What is meant by the term "DX"?;Distant station;Calling any station;Go ahead;Best regards;Que signifie le terme "DX"?;Une station éloignée;Appel à toute station;Continuez;Amitiés
B-002-005-008;What is the meaning of the term "73"?;Best regards;Long distance;Love and kisses;Go ahead;Que signifie le terme "73" utilisé lors d'une communication?;Amitiés;Longue distance;Amitiés et baisers;Continuez
B-002-005-009;Which of the following describes full break-in CW (QSK)?;Incoming signals are received between transmitted dots and dashes;Automatic keyers are used instead of hand keys;An operator must activate a manual send/receive switch before and after every transmission;Stations wishing to break in must send the Morse code signal "BK";Quel énoncé décrit le mieux la télégraphie quasi duplex, dite "full break-in CW" (QSK)?;Le signal entrant est entendu entre les points et les traits;Des manipulateurs électroniques sont utilisés au lieu de clés manuelles;L'opérateur doit passer manuellement de la réception à l'émission à chaque transmission;Les stations qui veulent intervenir ("break-in") envoient le signal "BK"
B-002-005-010;When selecting a CW transmitting frequency, what minimum frequency separation from a contact in progress should you allow to minimize interference?;150 Hz to 500 Hz;5 Hz to 50 Hz;1 kHz to 3 kHz;3 kHz to 6 kHz;Lorsque vous choisissez une fréquence pour émettre en CW, quel décalage minimal (séparation) devriez-vous laisser entre votre fréquence d'émission et celles qui sont déjà occupées afin de ne pas causer de brouillage?;De 150 Hz à 500 Hz;De 5 Hz à 50 Hz;De 1 kHz à 3 kHz;De 3 kHz à 6 kHz
